                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9987,                 3.5671,                 4.1783,                0.00436,                      1,                0.02779,                0.00729,                 2.8835,                 3.9448,                 4.1493,             0.00046699,             0.00046699,             0.00046699
                      1,                 2.8064,                 3.3828,                 3.8505,                0.00196,                 0.4429,                0.00996,                0.00206,                 3.8952,                 4.6745,                 4.3981,             0.00047638,             0.00047638,             0.00047638
